name,categories,price,rating,specification,image_link
Superkancl Optima,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2995.0,97.0,"Kancelářská židle OPTIMA PDH s područkami a podhlavníkem má vše pro pohodlné sezení. Její předností je široký sedák, ten je čalouněný kvalitní prodyšnou látkou. Výplň sedáku je z pěny s vysokou hustotou a odolností proti prosezení. Ani při delším sezení se nekroutí a umožňuje tak optimální komfort sezení. Opěradlo zad s prodyšným potahem ze síťoviny podpírá páteř a díky svému ergonomickému tvaru předchází bolestem zad. Je doplněné o bederní opěrku a zakončené pevným podhlavníkem. Ruce si můžete pohodlně položit na čalouněné područky, které se dají odklopit směrem nahoru. Kancelářskou židli tak snadno zasunete pod stůl. Svojí velikostí je vhodná pro osoby s výškou do 185 cm. Židle má kvalitní houpací mechanismus s nastavením síly houpání, ta se reguluje velkým plastovým šroubem umístěným pod sedákem. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, chromovaný kříž má pogumovaná kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářská židle má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/5f0/5f0d13d7db7e771c0a79c65f1880ba9b--mmf350x350.jpg
Superkancl Comfortable,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2995.0,97.0,"
	Kancelářské křeslo Comfortable s područkami je moderní křeslo s výjimečným polstrováním.
	Jeho hlavní předností je široký a pohodlný sedák. Ergonomicky tvarovaný opěrák je ideální pro správné držení těla bez nepříjemných bolestí zad. Je doplněný o zvýšenou opěrku hlavy.
	Odolná látka se vzorem ""pepito"" má šedou barvu. Elegantní prošití vypadá fantasticky!
	Křeslo vám poskytne pohodlné sezení na dlouhé hodiny. Ruce si můžete položit na čalouněné područky, které se dají odklopit směrem nahoru.
	Křeslo Comfortable má kvalitní houpací mechanismus. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem.
	Svojí velikostí je vhodné pro osoby s výškou do 185 cm.
	Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem Bifma Class 3, kovový kříž má pogumovaná kolečka o průměru 50 mm pro všechny druhy podlah.
	Křeslo najde své místo v každém interiéru, nebo kanceláři firmy.
	Kancelářské křeslo má nosnost max. 130 kg.",https://im9.cz/iR/importprodukt-orig/86b/86b317097dcb7ef5ba7732abd07d75d0--mmf350x350.jpg
Liftor Active,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",8999.0,98.0,"Ergonomická kancelářská židle, která se přizpůsobí vašim zádům. Speciální dvoudílná pohyblivá zádová opěrka reaguje na pohyb vašeho těla a aktivně se přizpůsobuje vaší poloze při sezení. Díky tomu vám spolu se synchronním mechanizmem vytvoří zdravé a ergonomické pracovní prostředí.",https://im9.cz/iR/importprodukt-orig/800/800fdf0ebb62fae1d2969527eb86ed9f--mmf350x350.jpg
Superkancl Boss,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3285.0,97.0,"Kancelářské křeslo BOSS má pevné područky, ergonomické tvarovaní a nosnost 140 kg. Je určeno všem, kteří potřebují pohodlné křeslo například k PC. Vysoký opěrák křesla je zakončený zvýšenou opěrkou hlavy. Díky tomu poskytne kvalitní oporu v oblasti beder, krční páteře a hlavě. Výplň sedáku je ze studené pěny s vysokou odolností proti slehnutí. Bohaté polstrovaní je zárukou pohodlného sezení, navíc se snadno přizpůsobí lidskému tělu. Křeslo je čalouněno do jemné a odolné eco kůže černé barvy se snadnou údržbou. Prošití vypadá fantasticky! Ruce si můžete pohodlně položit na čalouněné područky. Křeslo BOSS má kvalitní houpací mechanismus. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem. Svojí velikostí je vhodné pro osoby s výškou do 185 cm. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, stříbrný zesílený kříž má kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářské křeslo má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/b9d/b9d061a622da6368551c8cc5cf589969--mmf350x350.jpg
Superkancl Prezident,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",1585.0,97.0,"Kancelářské křeslo PREZIDENT Komfort s područkami a vysokým opěrákem. Síťovaný opěrák je potažený černou síťovinou Mesh a zakončený opěrkou hlavy, která je potažena černou koženkou. Pohodlný sedák je čalouněný černou prodyšnou látkou. Ruce si můžete položit na pevné plastové područky, obruče jsou pochromované. Křeslo má kvalitní houpací mechanismus. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem. Svojí velikostí je vhodné pro osoby s výškou do 185 cm. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, kovový kříž má pogumovaná kolečka o průměru 50 mm pro všechny druhy podlah. Moderní křeslo najde své místo v každém interiéru, nebo kanceláři firmy. Kancelářské křeslo má nosnost max. 130 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/fd2/fd256676023ec4f44a00f026bcf4635a--mmf350x350.jpg
Superkancl Optima,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2995.0,97.0,"Kancelářská židle OPTIMA PDH s područkami a podhlavníkem má vše pro pohodlné sezení. Její předností je široký sedák, ten je čalouněný kvalitní prodyšnou látkou. Výplň sedáku je z pěny s vysokou hustotou a odolností proti prosezení. Ani při delším sezení se nekroutí a umožňuje tak optimální komfort sezení. Opěradlo zad s prodyšným potahem ze síťoviny podpírá páteř a díky svému ergonomickému tvaru předchází bolestem zad. Je doplněné o bederní opěrku a zakončené pevným podhlavníkem. Ruce si můžete pohodlně položit na čalouněné područky, které se dají odklopit směrem nahoru. Kancelářskou židli tak snadno zasunete pod stůl. Svojí velikostí je vhodná pro osoby s výškou do 185 cm. Židle má kvalitní houpací mechanismus s nastavením síly houpání, ta se reguluje velkým plastovým šroubem umístěným pod sedákem. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, chromovaný kříž má pogumovaná kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářská židle má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/5f0/5f0d13d7db7e771c0a79c65f1880ba9b--mmf350x350.jpg
Alba Game Šéf VIP,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",8464.0,97.0,"Kancelářská židle GAME ŠÉF VIP, TB-synchro",https://im9.cz/iR/importprodukt-orig/179/179053861fd54eb79bf8f79ba55a1592--mmf350x350.jpg
Halmar Dingo,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",999.0,98.0,Kompletní specifikace,https://im9.cz/iR/importprodukt-orig/247/2476dca2fdf5c12b15d223552874e2d1--mmf350x350.jpg
Superkancl Boss,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3285.0,97.0,"Kancelářské křeslo BOSS má pevné područky, ergonomické tvarovaní a nosnost 140 kg. Je určeno všem, kteří potřebují pohodlné křeslo například k PC. Vysoký opěrák křesla je zakončený zvýšenou opěrkou hlavy. Díky tomu poskytne kvalitní oporu v oblasti beder, krční páteře a hlavě. Výplň sedáku je ze studené pěny s vysokou odolností proti slehnutí. Bohaté polstrovaní je zárukou pohodlného sezení, navíc se snadno přizpůsobí lidskému tělu. Křeslo je čalouněno do jemné a odolné eco kůže černé barvy se snadnou údržbou. Prošití vypadá fantasticky! Ruce si můžete pohodlně položit na čalouněné područky. Křeslo BOSS má kvalitní houpací mechanismus. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem. Svojí velikostí je vhodné pro osoby s výškou do 185 cm. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, stříbrný zesílený kříž má kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářské křeslo má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/b9d/b9d061a622da6368551c8cc5cf589969--mmf350x350.jpg
Superkancl FunPDH,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3395.0,97.0,"Kancelářská židle FUN PDH s područkami a podhlavníkem je vhodná pro každodenní používání. Její předností je široký sedák, ten je čalouněný kvalitní látkou Bondai s odolností 150 000 cyklů. Výplň sedáku je z pěny s vysokou hustotou a odolností proti prosezení. Ani při delším sezení se nekroutí a umožňuje tak optimální komfort sezení. Opěradlo zad s potahem ze síťoviny podpírá páteř a díky svému ergonomickému tvaru předchází bolestem zad. Je doplněné o výškově stavitelnou bederní opěrku, s možností nastavení hloubky a zakončené 3D podhlavníkem, ten je výškově nastavitelný s naklápěním. Svojí velikostí je židle vhodná pro osoby s výškou do 180 cm. Ruce si můžete pohodlně položit na výškově stavitelné 3D područky s měkkou dotykovou plochou s možností posunutí vpřed, vzad a pootočení – úhlové nastavení. Je použita kvalitní asynchronní mechanika s nastavením síly protiváhy pro dynamické a zdravé sezení. Dále umožňuje změnit sklon židle s aretací v několika polohách. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, černý kříž má pogumovaná kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářská židle má nosnost max. 130 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/233/2332cc28869c88df88455834a9e38f86--mmf350x350.jpg
Herman Miller Mirra,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",23990.0,95.0,"Herman Miller Mirra s opěrkou Butterfly – kancelářská židle s prvotřídní ergonomiíLuxusní kancelářská židle Herman Miller Mirra si s ergonomií poradila jednoduše. Prostě sedí. Pasuje. Je vzdušná. Všechny tyto vlastnosti zakusíte na vlastní kůži při celodenním sezení. Židle Herman Miller Mirra bude váš kancelářský parťák, na kterého nedáte dopustit.Dynamické sezeníŽidle Herman Miller Mirra nabízí doposud nepoznaný komfort. Vaše tělo dostane přirozenou odezvu na každý pohyb, který učiníte. I po náročném pracovním dnu tak budete dokonale uvolnění a bez bolestí.Opěrka ButterflyExtrémně citlivou záležitostí je volba materiálu na opěrku. Herman Miller Mirra s opěrkou Butterfly je ukázkou dokonalého spojení polymeru s textilní vrstvou. Díky tomu vzniká prakticky dokonalá opěrka, která vám zajistí maximální pohodlí. Luxusní kancelářská židle Herman Miller Mirra s opěrkou ButterflySe svým moderním designem a jemnými tvary je kancelářské křeslo Herman Miller Mirra ideálním modelem pro...",https://im9.cz/iR/importprodukt-orig/38f/38f16413fbb497973ca6ebadaabe67dc--mmf350x350.jpg
Halmar Timmy,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",1290.0,98.0,Dětská otočná židle TIMMY,https://im9.cz/iR/importprodukt-orig/0df/0df8f56fcaa50e9847c7eb9e0ee71b68--mmf350x350.jpg
Songmics Optima,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2990.0,98.0,"Kancelářská židle OPTIMA PDH s područkami a podhlavníkem má vše pro pohodlné sezení. Její předností je široký sedák, ten je čalouněný kvalitní prodyšnou látkou. Výplň sedáku je z pěny s vysokou hustotou a odolností proti prosezení. Ani při delším sezení se nekroutí a umožňuje tak optimální komfort sezení. Opěradlo zad s prodyšným potahem ze síťoviny podpírá páteř a díky svému ergonomickému tvaru předchází bolestem zad. Je doplněné o bederní opěrku a zakončené pevným podhlavníkem. Ruce si můžete pohodlně položit na čalouněné područky, které se dají odklopit směrem nahoru. Kancelářskou židli tak snadno zasunete pod stůl. Svojí velikostí je vhodná pro osoby s výškou do 185 cm. Židle má kvalitní houpací mechanismus s nastavením síly houpání, ta se reguluje velkým plastovým šroubem umístěným pod sedákem. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, chromovaný kříž má pogumovaná kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářská židle má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/d9d/d9d74dfd12abef547ed0a295d9cc189c--mmf350x350.jpg
Antares Edge,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",5990.0,98.0,Antares EDGE,https://im9.cz/iR/importprodukt-orig/1a0/1a0500af210f8d6282fade10f6b913ad--mmf350x350.jpg
Halmar Relax,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2540.0,98.0,,https://im9.cz/iR/importprodukt-orig/d1d/d1d36fb4e0812f55b7d20c6900ef8976--mmf350x350.jpg
ADK Trade Komfort,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",1490.0,92.0,"Kancelářské křeslo, černá barva + chrom.",https://im9.cz/iR/importprodukt-orig/1cb/1cb73e2ccb6e1db69bd5bc35471e772d--mmf350x350.jpg
Superkancl Executive,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",3590.0,97.0,"Kancelářské křeslo EXECUTIVE má pevné područky, ergonomické tvarovaní a nosnost 140 kg. Je určeno všem, kteří potřebují pohodlné křeslo například k PC. Vysoký opěrák křesla je zakončený zvýšenou opěrkou hlavy. Díky tomu poskytne kvalitní oporu v oblasti beder, krční páteře a hlavě. Výplň sedáku je ze studené pěny s vysokou odolností proti slehnutí. Bohaté polstrovaní je zárukou pohodlného sezení, navíc se snadno přizpůsobí lidskému tělu. Křeslo je čalouněno do odolné látky se vzorem ""pepito"" šedé barvy. Prošití vypadá fantasticky! Ruce si můžete pohodlně položit na čalouněné područky. Křeslo EXECUTIVE má kvalitní houpací mechanismus. Síla houpání se reguluje v závislosti na váze uživatele velkým plastovým šroubem umístěným pod sedákem. Svojí velikostí je vhodné pro osoby s výškou do 185 cm. Výška sezení se upravuje plynule páčkou. Je použitý kvalitní plynový píst s certifikátem BIFMA Class 3, stříbrný zesílený kříž má kolečka o průměru 50 mm pro všechny druhy podlah. Kancelářské křeslo má nosnost max. 140 kg, záruka 24 měsíců.",https://im9.cz/iR/importprodukt-orig/fa8/fa828c7a4f60944c15d49cec17aff649--mmf350x350.jpg
Antares Sander,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2690.0,98.0,"
	Kancelářské křeslo Sander Otočné kancelářské křeslo Sander patří mezi židle a křesla s nadstandardní výbavou, zásluhou které se z obyčejného každodenního sezení v kanceláři či pracovně stane příjemným zážitkem. O vaše pohodlí se postará zvýšený opěrák zad, bederní pás, nastavitelné područky a synchronní mechanika. Bez obav z bolestí zad či nepříjemného pocitu přesezení můžete na tomto křeslu sedět déle než 8 hodin denně. Jaké má přednosti? Vhodné k sezení delšímu než 8 hodin denně Moderní design Nastavení výšky pomocí plynového pístu Synchronní mechanika s možností aretace Atraktivní kombinace potahových materiálů Bederní pás Područky s volbou výšky Pevný kovový kříž Kolečka vhodná na měkké podlahy a koberce Nosnost až 120 kg.
	Díky široké výbavě se řadí mezi nadstandardní modely Síťovina je díky své prodyšnosti velmi oblíbeným materiálem Vzdušný potahový materiál Opěrák křesla je potažený vzdušnou síťovinou, která je pro vás ideální volbou, pokud hledáte dokonale prodyšný materiál. Umožňuje totiž perfektní odvětrávání kontaktní části zádového opěráku, což oceníte především během horkých letních dní. Po stranách je opěrák potažený barevnou eko kůží. Sedák je čalouněný do příjemné textilie a vyplněný pěnou, která jen umocní vaše pohodlí během sezení.
	Synchronní mechanika U tohoto typu mechaniky se při sezení či houpání pohybuje sedák s opěrákem závisle na sobě, což znamená, že při nastavení opěráku se bude přizvedávat i sedák. Aretaci a tuhost houpání si nastavíte pomocí páčky a šroubu umístěných pod sedákem. Křeslo si můžete zablokovat v libovolné poloze. Zásluhou ergonomických funkcí a precizního zpracování jsou křesla s tímto typem mechaniky vhodné k dlouhodobé náročné práci v kanceláři. O nastavení výšky křesla se postará plynový píst, který se ovládá pomocí páčky pod sedákem. Synchronní mechanismus se postará o pohyb sedáku a opěráku  Výbava křesla Zvýšený opěrák zad Zvýšený opěrák zad přebírá funkci hlavové opěrky, slouží tedy k opoře hlavy a krku. Kontaktní část je posílena pěnovou výplní. Zásluhou tohoto typu opěráku ulevíte vaší krční páteři a zároveň předejdete bolestem hlavy. Bederní pás Bederní pás zastupuje funkci bederní opěrky, avšak jedná se pouze o zpevněnou část zádového opěráku, nikoliv o samostatnou opěrku. Poskytne vám zdravou oporu bederní páteře při dlouhodobém sezení a výrazně sníží riziko tuhnutí zad. Područky Područky tohoto modelu jsou výškově nastavitelné, což znamená, že si jejich výšku můžete přizpůsobit tak, aby se vám sedělo co nejpohodlněji. Navíc mají měkčený povrch, což jen zpříjemní váš požitek ze sezení. Kovový kříž s kolečky na měkké podlahy Jednou z nejdůležitějších částí křesla je pevný kovový kříž, který se postará o jeho celkovou stabilitu. Pyšní se vysokou odolností a nosností až 120 kg. O jeho pohyb se postará 5 koleček, která jsou vhodná pro měkké typy podlah. Plynulý a bezproblémový pohyb zvládnou po koberci i PVC podlaze. Robustní kovový kříž s kolečky",https://im9.cz/iR/importprodukt-orig/1a9/1a91e0bcebd2a8e6d752efa174e38ff7--mmf350x350.jpg
Autronic KA-B1013,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2240.0,98.0,"Kancelářská židle s výškově nastavitelnými područkami, pasivní bederní opěrkou, polohovací opěrkou hlavy a plastovým křížem s plastovými kolečky vhodnými na koberce. Opěrák je potažen síťovinou a sedák je očalouněn černou látkou. Židle je výškově nastavitelná s houpacím mechanismem. Nosnost židle je až 120 kg.  ",https://im9.cz/iR/importprodukt-orig/1e2/1e2e761a130cd98e98ebef0671d9790a--mmf350x350.jpg
Diablo V-Basic,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",6900.0,98.0,"Kancelářské křeslo v černé barvě značky Diablo, vyrobeno z materiálů nejvyšší kvality a navrženo podle nejnovějších trendů.",https://im9.cz/iR/importprodukt-orig/147/1473cfc1ef7663fc8f308ac1d43c9fa6--mmf350x350.jpg
Ergodo Kids,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",2699.0,94.0,Dětská rostoucí židle ERGODO KIDS  ,https://im9.cz/iR/importprodukt-orig/327/327e4c2c3b94e826dccb06498eca72f4--mmf350x350.jpg
Aga MR2075,"['Bydlení a doplňky', 'Nábytek', 'Židle a stoličky', 'Kancelářské židle']",799.0,95.0,"Kancelářská židle bez podhlavníku, která je vyrobená v černé barvě v kombinaci síťoviny a plastu.",https://im9.cz/iR/importprodukt-orig/875/875f3ebeca380f90b9f887753454f54b--mmf350x350.jpg
